loss,val_loss
18722726.0,19487914.0
18710818.0,19554560.0
18710782.0,19561098.0
18669742.0,19481014.0
18663034.0,19479536.0
18666528.0,19502348.0
18699886.0,19485702.0
18649784.0,19430100.0
18641120.0,19438666.0
18611554.0,19559316.0
18642902.0,19358856.0
18632996.0,19532028.0
18644804.0,19354702.0
18637310.0,19443294.0
18669796.0,19411582.0
18690284.0,19516422.0
18671068.0,19459862.0
18654944.0,19339344.0
18668200.0,19352064.0
18638650.0,19546470.0
18619528.0,19337654.0
18600432.0,19298988.0
18660566.0,19388174.0
18625402.0,19311512.0
18653076.0,19572136.0
18603852.0,19325930.0
18620512.0,19395134.0
18640862.0,19287458.0
18629190.0,19287018.0
18613826.0,19289818.0
18597368.0,19330098.0
18652768.0,19386316.0
18621258.0,19450036.0
18600508.0,19270236.0
18571032.0,19351108.0
18593518.0,19382696.0
18615022.0,19340912.0
18674610.0,19373920.0
18600592.0,19283886.0
18584284.0,19347666.0
18644970.0,19232348.0
18600196.0,19345436.0
18573030.0,19525022.0
18650358.0,19269594.0
18579700.0,19495608.0
18577244.0,19450060.0
18618534.0,19280028.0
18552906.0,19233920.0
18616126.0,19263464.0
18626934.0,19362066.0
18595158.0,19223200.0
18616060.0,19397176.0
18650794.0,19298846.0
18636682.0,19221672.0
18560616.0,19236154.0
18605504.0,19318410.0
18575106.0,19415128.0
18555350.0,19266442.0
18575640.0,19333016.0
18574724.0,19246430.0
18550444.0,19345568.0
18573534.0,19247678.0
18553176.0,19215328.0
18534150.0,19505684.0
18562804.0,19423572.0
18593282.0,19261428.0
18553134.0,19302800.0
18583402.0,19288046.0
18596788.0,19194560.0
18532448.0,19322126.0
18547058.0,19270670.0
18541816.0,19267244.0
18567746.0,19308906.0
18543966.0,19444870.0
18542234.0,19181158.0
18550542.0,19337682.0
18563740.0,19358668.0
18594902.0,19283440.0
18512656.0,19277720.0
18579246.0,19366706.0
18560892.0,19212398.0
18516192.0,19217538.0
18510050.0,19260566.0
18523270.0,19356924.0
18507092.0,19514098.0
18532238.0,19175794.0
18571862.0,19234182.0
18505432.0,19279540.0
18564842.0,19239042.0
18511444.0,19504400.0
18526766.0,19255274.0
18537550.0,19213720.0
18536596.0,19164794.0
18575026.0,19143174.0
18541374.0,19299158.0
18519576.0,19478426.0
18564882.0,19204370.0
18522110.0,19152532.0
18581130.0,19185392.0
18558510.0,19173354.0
18545112.0,19159066.0
18539398.0,19127588.0
18487050.0,19426546.0
18528368.0,19254764.0
18498990.0,19129946.0
18544072.0,19359844.0
18509860.0,19175166.0
18534734.0,19208546.0
18542722.0,19189354.0
18545158.0,19220390.0
18484064.0,19332034.0
18533700.0,19213868.0
18581342.0,19145784.0
18486456.0,19414564.0
18491378.0,19470650.0
18538186.0,19163960.0
18505144.0,19623494.0
18518804.0,19326262.0
18542616.0,19308944.0
18523246.0,19344504.0
18545320.0,19235948.0
18482144.0,19236028.0
18488954.0,19322990.0
18496776.0,19296882.0
18507492.0,19297976.0
18593718.0,19235186.0
